link,date_time,original_text,length,geo_hint,engagement_signal,product_hint,stage,primary_breakdown_point,channel,root_cause,emotion,emotion_severity,summary_insight,actionability_score_5,fixability_score_5,evidence_strength
https://www.youtube.com/watch?v=9CPpIfbF_SQ&lc=Ugw0BiMX3ye0TVNHjcl4AaABAg,2022-06-01 05:30:00,"Bhai mere pas insurance policy icici Lombard se 8 Feb ko email per mil gai thi or 11 Feb ko mera physical RTO form per sign hua and 16 Feb ko mujhe scooter mil gaya, ye jarury nahi ki vaahan OTP aae kyoki mujhe vaahan ka koi bhi OTP nahi aaya tha or Mera permanent number scooter me laga ke hi diya gaya h.",306,unknown,1,unknown,Onboarding & Policy Understanding,Servicing & Policy Admin,Digital / App / Website,Unknown,Resignation,Low,"Event: Received insurance policy via email on Feb 8th. Process: Physical RTO form signed on Feb 11th, scooter received on Feb 16th. Outcome: Scooter was registered with a permanent number without requiring an OTP, indicating a smooth onboarding process.",2,3,Medium
https://www.youtube.com/watch?v=3OEqeJdlw-o&lc=UgyVstcIh0AOqWG8fGx4AaABAg,2022-06-01 05:30:00,"Very bad 😠😡😡 ICICI Lombard Health insurance policy service very bed 😠😠😡 hdfc and star is good

Don't buy any policy from icici

I have admit on fever at hospital  but clime not pass icici tell me fever not cover in policy

So guess don't buy any policy icici

No any ans help desk call hold last 1h for check Details

HDFC, star health is good",353,unknown,1,health,Claims Experience,Servicing & Policy Admin,Claims / TPA,Misrepresentation / Incomplete Explanation,Anger,High,"Event: Admitted to hospital for fever. Process: Filed a claim with ICICI Lombard Health insurance. Outcome: Claim was rejected, with ICICI Lombard stating that fever is not covered in the policy. The user also experienced long hold times with the help desk.",2,2,Medium
https://www.youtube.com/watch?v=cux55RRdjEE&lc=UgxXLudVFo3faXmNML54AaABAg,2025-05-31 05:30:00,"Hello bhaiya 
Mere pass classic 350 stealth dark black jo ki 6month old main vapi-mumbai(approx 200km) jaa rha tha but bich me hi kharab raste ki wajah se rear allow wheel minor sa bend ho gya aur waha pe tyre me thoda sa phat gya hai but main jab icici Lombard insurance walo ke pass gya to wo bole ki insurance claim karoge bhi to  no cliam ho jayega ab kya kare phir bhaiya please reply karna❤",396,vapi-mumbai,0,unknown,Claims Experience,Servicing & Policy Admin,Agent / Advisor,Misrepresentation / Incomplete Explanation,Resignation,Medium,"Event: Minor bend in rear alloy wheel and tear in tire of a 6-month-old scooter due to bad roads while traveling. Process: Approached ICICI Lombard insurance for a claim. Outcome: ICICI Lombard stated that the claim would be rejected ('no claim'), implying the damage is not covered or will not be honored.",2,2,Medium
https://www.youtube.com/watch?v=9W1B6-yKP_Q&lc=UgwUmM9OWU3hL2eNjZJ4AaABAg,2026-04-01 05:30:00,"Mere car accident hogyii zero defet insurance hai phir bhi ye log bol 20% settlement karo 
Mane reason phucha to bat ko gumma riha hai 3 mnth se mere car workshop me hai koi approval nhi dey rahe or Mera 1st claim hai 

Mere jase or bhi hai jo ye problem face kar rahe hai icici lambard chor hai",295,unknown,0,car,Claims Experience,Claims Processing,Claims / TPA,Process / Documentation Friction,Anger,High,"Event: Car accident. Process: Filed a zero-depreciation insurance claim with ICICI Lombard. Outcome: Claim is being delayed for 3 months with a demand for 20% settlement, and the car is stuck at the workshop without approval.",4,3,Medium
https://www.youtube.com/watch?v=3ORQpKSJrJw&lc=Ugy7sLMqA7yqebEf53x4AaABAg,2025-06-01 05:30:00,"सर मैने 14 जुलाई 2023 को आईसीआईसीआई lombard की हेल्थ इंश्योरेंस पॉलिसी ली थी और 3 साल का प्रीमियम दे दिया जो 2026 तक एक्टिव रहेगी उस समय मुझे शुगर की बीमारी dignose नही हुई थी तो क्या मुझे 2 साल का वेटिंग पीरियड लागू होगा या नहीं, और क्या अगर 5 साल का Moratorium time पीरियड निकल गया तो क्या मुझे क्लेम मिलेगा, प्लीज सर रिप्लाई जरूर कीजिएगा Thanks..",349,unknown,1,health,Onboarding & Policy Understanding,Policy Understanding,Unknown,Misrepresentation / Incomplete Explanation,Confusion,Medium,"Event: Purchased ICICI Lombard health insurance policy on July 14, 2023, with a 3-year premium. Outcome: Seeking clarification on whether the 2-year waiting period for a pre-diagnosed sugar condition applies, and if a claim will be admissible after the 5-year moratorium period.",4,4,Medium
https://www.youtube.com/watch?v=vtVLc0D2M3I&lc=UgyuGT0Tb58o8tXUYYp4AaABAg,2025-06-01 05:30:00,"""🚨🚨🚨🚨🚨DONT BUY ICICI LOMBARD HEALTH INSURANCE ""📢⚠️🚨 Hi friends, Here i would like to mention about the claim that i requested from ICICI lombard. Brief summary -: we got our policy ported from Niva bupa to ICICI as they guarenteed hassle free claim processing however situation was totally different. 1) Their investigator came at our house who was polite and humble but he snatched documents from my mother,s hand though she was denying. 2) They gave claim rejection reason that no documents were submitted before date 23 juky 2023 however treatment itself got started on 4th may 2024 AND THEY ARE ASKING FOR DOCUMENTS THAT NEVER EXISTED SO HOW CAN WE PROVIDE. 3) situation was that my mother once had knee pain and hand numbmess for which she got treated from PGI and it was only 1 week treatment and reason was due to vitamin B deficiency ( already submitted all documents ) 4) Comlany is rejecting claim because  that my mother visited on 4th may 2024 to doctor and when doctor asked did You faced that problem and my mom replied yes might. be 1.5 years back it was first she faced that problem and then again it was normal and now the situation worsened so i came to got checked. 5) Problem was diagnosed on 6th may 2024 by an ultrasound conducted as prescribed by PgI doctors. 6) Now it is very lame to ask documents before that date and they are rejecting claim on that basis which is similarly like you are pregnant for 9 months and they are asking pregnancy reports before 12 months literally shit claims they are providing. ICICI Lombard ICICI Lombard ICICI LOMBARD GENERAL INSURANCE Icici Lombard",1607,unknown,0,health,Claims Experience,Claim Rejection,Claims / TPA,Misrepresentation / Incomplete Explanation,Betrayal,High,"Event: Sought claim processing from ICICI Lombard after porting from Niva Bupa. Process: An investigator allegedly snatched documents, and the claim was rejected citing non-submission of documents before the treatment date (May 4, 2024), despite the treatment starting on that date. Outcome: Claim rejected based on a fabricated reason of missing documents for a past condition that was resolved and then resurfaced.",5,2,Medium
https://www.youtube.com/watch?v=9ySx4bONKi4&lc=UgzsXiJ6qy91b8L4TsR4AaABAg,2023-06-01 05:30:00,Beware while applying ICICI Lombard online. Iapplied insurance and rejected but fought a lot for my refund. Had to email them and threaten them with legal action. Wrote several emails and follow up to receive my refund of 14004 rupees. Beware always keep proof of receipts and keep communication in email so that you can fight these insurance frauds!!,351,unknown,1,unknown,Onboarding & Policy Understanding,Refund Process,Digital / App / Website,Process / Documentation Friction,Anger,Medium,"Event: Applied for ICICI Lombard insurance online. Process: The application was rejected, and the user had to fight extensively via emails and threats of legal action to get a refund of 14004 rupees. Outcome: Refund was eventually received after significant effort.",4,3,Medium
https://www.youtube.com/watch?v=MQ7GYWZbkx0&lc=UgxDtc7wArOOeLTRAhR4AaABAg,2024-06-01 05:30:00,"This is not a regular post that i generally stick to but its important and I think as a law abiding citizen its my responsibility to make people aware about such incidents

@ICICILombard has been a disaster when it comes to professionalism and ethics.

I hope this message finds everyone well. I am writing to express my deep dissatisfaction and frustration with the recent experience I had while trying to file a claim for a minor accident with ICICI Lombard that occurred on September 8th.

On the said date, I and my wife encountered an unfortunate accident near Patny Circle, Secunderabad which was primarily caused by a reckless auto driver. As a result, my vehicle suffered a damaged bumper and a scratch on the left side. In a stressful situation, I managed to handle the aggressiveness of some individuals involved, despite their mistake in the incident.

Given that I had diligently purchased a comprehensive insurance policy that was supposed to cover such unforeseen events, I promptly reached out to the company to initiate the claim process. However, the ordeal that followed has been extremely disappointing and disheartening.

The insurance claim Guvulla Ravindra agent I spoke with exhibited a complete lack of professionalism and empathy. Instead of understanding the situation and assisting me with the claim process, he used derogatory language and accused me of cheating and fraud, as if the insurance company held a monopoly on moral high ground and transparency. This behaviour is entirely unacceptable and unbecoming of a so called reputable insurance company.

Furthermore, the agent seemed to have no knowledge of the details regarding the damages to my vehicle. He immediately produced a vehicle challan, attempting to use it as a pretext to deny my claim. This approach has left me feeling unfairly treated and deceived as a customer who faithfully invested in your insurance services for protection during such adversities.

I wish to share this disheartening experience with all my friends, family, and acquaintances, to raise awareness about the unacceptable treatment I have endured. I urge anyone considering insurance services to exercise caution when dealing with ICICI Lombard company, as the claim settlement ratio alone should not be the sole factor in choosing an insurance provider.

I would also like to highlight that the frequency and persistence of phone calls that we get from their representatives, attempting to pressure and harass us into settling for less than I am rightfully entitled to under my insurance policy, have become completely unbearable

During times of distress and vulnerability, customers expect compassion, understanding, and a seamless claim process from their insurance company. Unfortunately, my experience has been quite the opposite. I sincerely hope that ICICI Lombard company should be actually dealt and I will take this matter as far possible to sort this out.",2934,Secunderabad,0,car,Claims Experience,Claim Rejection,Agent / Advisor,Misrepresentation / Incomplete Explanation,Betrayal,High,"Event: Minor car accident on September 8th. Process: Filed a claim with ICICI Lombard, but the agent allegedly used derogatory language, accused the customer of fraud, and seemed unaware of vehicle damages, attempting to use a challan to deny the claim. Outcome: Claim settlement is being pressured with persistent calls, and the customer feels unfairly treated and deceived.",5,2,Medium
https://www.youtube.com/watch?v=9UOz3q0xG_Q&lc=Ugy7-wZNiDv8_5qKb4d4AaABAg,2024-06-01 05:30:00,"sir Kuch din me car ka insurance khatam hone wala hai aur icici Lombard ke agent aur message me insurance ka price 6777 dikha rha hai !! wahi par phonepe par 4100 show kar rha hai aur show kar rha hai previously selected ! Price me itna difference kyu hai sir !!

Please reply",276,unknown,1,unknown,Servicing & Policy Admin,Pricing Discrepancy,Digital / App / Website,Process / Documentation Friction,Confusion,Medium,Event: Car insurance expiring. Process: Agent and PhonePe show different premium prices for ICICI Lombard (6777 vs 4100). Outcome: Customer is confused about the price difference.,3,3,Medium
https://www.youtube.com/watch?v=9UOz3q0xG_Q&lc=UgxYRNg7OChnGYrtaqZ4AaABAg,2024-06-01 05:30:00,"My car is 3 yrs old, 4 coming.
I was having ICICI Lombard and took a claim of around 20k this year.
Now, for renewal my premium with all add ons is 18500 from ICICI and all other companies.
My question is, is 18500 best price for my vehicle??",242,unknown,2,unknown,Servicing & Policy Admin,Premium Inquiry,Agent / Advisor,Process / Documentation Friction,Confusion,Medium,"Event: Car insurance renewal after a claim of 20k. Process: ICICI Lombard's renewal premium with add-ons is 18500, same as other companies. Outcome: Customer is questioning if 18500 is the best price for their vehicle.",3,3,Medium
